,Location,Life span,Overweight(%),High Blood Glucose(%),High Blood Pressure(%),High Cholesterol(%),NCD death probability(%),Malignant neoplasms death(%),Diabetes mellitus death(%),Cardiovascular death(%),Chronic obstructive pulmonary death(%)
118,Oman,77.0,62.6 [57.9-67.2],13.5 [9.6-18.4],24.8 [18.9-31.5],49.6 [33.1-66.3],17.8,0.028353169761590025,0.020159773460406136,0.09035061261823216,0.0038846075106430426
119,Pakistan,66.53,28.4 [24.1-33.2],12.4 [8.3-17],30.5 [24.4-37.4],31 [19.4-44.2],24.7,0.05752797717459583,0.02193473582722692,0.2021147470038946,0.035104613260052146
120,Panama,78.03,58.8 [53.9-63.4],9.3 [6.2-13.3],19.9 [14.8-25.8],42.8 [26.3-60.3],13.0,0.08709280213659748,0.035372161959915015,0.13702997196235986,0.03227585926734543
121,Papua New Guinea,65.91,52.9 [46.4-59.3],14.8 [9.2-21.8],25.6 [18.4-33.5],38.2 [22.6-55.9],30.0,0.08212272929384125,0.028687948861222622,0.1603526985652157,0.03825059848163016
122,Paraguay,74.19,53.5 [47.6-59.1],8.1 [5.1-12.3],24.6 [17.9-31.8],38.3 [21.8-56.4],17.5,0.08526267365685838,0.03561586679488772,0.1552255735497157,0.01726203983016513
123,Peru,75.86,57.5 [53.1-61.6],7.7 [4.6-11.4],13.7 [10.5-17.4],38.6 [29.2-47.9],12.6,0.09231380316572094,0.019601606879071084,0.11580856984063526,0.03136515782365383
124,Philippines,69.31,27.6 [23.6-32],7.2 [4.9-10],22.6 [17.4-28.1],43.3 [31-56],26.8,0.06358631689137575,0.02462575850480976,0.22494831658322578,0.040749996729813484
125,Poland,77.75,58.3 [54.3-62.2],7.7 [5-10.9],28.7 [23-35],57.1 [45.2-67.8],18.7,0.2813587792199355,0.022956513608677072,0.4790517140942464,0.04709757384318887
126,Portugal,81.53,57.5 [53.1-62],6.8 [4.3-10],24.4 [18.2-31.2],55.9 [41.1-70],11.1,0.2728380307470602,0.04566347135355632,0.3006622413936704,0.06929419671997784
127,Qatar,78.07,71.7 [67-76.1],18.9 [13.5-25.4],22.4 [16.1-29.8],57 [38.9-73.7],15.3,0.024111100939240397,0.013524820683105163,0.039707969359311535,0.002072047736965972
128,Republic of Korea,82.66,30.3 [27.2-33.4],8 [5.5-11],11 [8.2-14.3],42.5 [33.4-51.8],7.8,0.16588325551787927,0.023509591721202996,0.12468360808722109,0.03283418700258119
129,Republic of Moldova,71.5,51.8 [46.4-57.3],8.1 [4.9-12.3],29.8 [23.1-37],36.5 [18.9-56],24.9,0.17508551989381244,0.011682205639775376,0.6734853036623346,0.0247662759563238
130,Romania,75.24,57.7 [53.3-62.1],6.8 [4.2-10.1],30 [23.4-37.3],45.8 [28.8-63],21.4,0.26398394041708845,0.013664183371825414,0.73389545914687,0.04722604448916665
